id,type,ba_zone,commodity,fac_id,fac_zip,lat,lon,cod,ref_cap,cap_dec,prod_2018,int_coal,int_met_coal,int_coke,int_ddfo,int_ng,int_hgl,int_elec,int_opet,int_rfo,int_ng_feed,int_coal_feed,int_coke_feed,int_h2_feed,int_lighthgl_feed,int_medhgl_feed,int_heavypchem_feed,int_m_scrap,int_m_ore,int_m_limestone,int_m_cullet,int_m_silica,int_m_soda_ash,co2_rate_proc,co2_rate_comb,newfac_ref_cap,cost_cap,cost_fom,cost_vom,ccs_cap_rate_comb,ccs_cap_rate_prod
* Vintage,Technology,BA Region,Sector,Faciity ID,Zip Code,Latitude,Longitude,Commercial operation date,Capacity [metric-tons/yr],fixed changes to capacity post 2022 [metric-tons/yr],Production in 2018 [metric_ton],Industrial Coal intensity [MMBtu-fuel-input/metric_ton-output],Metallurgical Coal intensity  [MMBtu-fuel-input/metric_ton-output],Coke intensity [MMBtu-fuel-input/metric_ton-output],Distilate Fuel Oil intensity [MMBtu-fuel-input/metric_ton-output],Natural gas intensity [MMBtu-fuel-input/metric_ton-output],Propane intensity [MMBtu-fuel-input/metric_ton-output],Electricity intensity [MWh-input/metric_ton-output],Other Petroleum intensity [MMBtu-fuel-input/metric_ton-output],Residual Fuel Oil intensity [MMBtu-fuel-input/metric_ton-output],Natural gas feedstock intensity  [MMBtu-fuel-input/metric_ton-output],Industrial Coal feedstock intensity  [MMBtu-fuel-input/metric_ton-output],Coke feedstock intensity  [MMBtu-fuel-input/metric_ton-output],Hydrogen feedstock intensity [metric_ton-h2/metric_ton-output],Ethane feedstock intensity  [MMBtu-input/metric_ton-output],Propane/Butane feedstock intensity  [MMBtu-input/metric_ton-output],Heavy feedstock intensity  [MMBtu-input/metric_ton-output],Scrap intensity [metric_ton-scrap/metric_ton-output],Ore intensity [metric_ton-ore/metric_ton-output],Limestone intensity [metric_ton-input/metric_ton-output],Cullet intensity [tonne-scrap/tonne-output],Silica intensity [tonne-input/tonne-output],Soda ash intensity [tonne-input/tonne-output],Carbon emission process intensity [CO2 metric_ton/metric_ton-output],Carbon emission combustion intensity [CO2 metric_ton/metric_ton-output],Capacity of reference facility for new vintages [metric tons/yr],CAPEX [2018$/(metric ton/yr)],Fixed O&M cost [2018$/metric_ton],Variable O&M cost [2018$/metric_ton],Carbon capture rate from combustion [%],Carbon capture rate from process [%]
tech43,port,p25,cement,1002530,84648,39.508327,-112.262246,1980,980000,0,800000,1.807490561,0,0.024075774,0.024075774,0.616449412,0.024075774,0.112174447,1.518292071,0,0,0,0,0,0,0,0,0,0,1.159973256,,,,0.455175,0.377721741,,167.3941293,19.78200491,1.6,0,0
tech44,port,p101,cement,1003303,34601,28.582265,-82.430829,1986,1590000,0,1390000,1.299907604,0,0.054162817,0.027081408,0.69271392,0.005416282,0.141895672,0.974930703,0,0,0,0,0,0,0,0,0,0,1.159973256,,,,0.455175,0.274191506,,167.3941293,19.78200491,1.6,0,0
tech45,port,p65,cement,1004270,78217,29.545278,-98.421111,1964,820000,0,520000,1.446822359,0,0.060284265,0.030142132,0.77100402,0.006028426,0.141895672,1.085116769,0,0,0,0,0,0,0,0,0,0,1.159973256,,,,0.455175,0.33235318,,167.3941293,19.78200491,1.6,0,0
tech46,port,p92,cement,1004721,37924,36.022505,-83.834408,2000,810000,0,720000,1.049881864,0,0.043745078,0.021872539,0.559476519,0.004374508,0.141895672,0.787411398,0,0,0,0,0,0,0,0,0,0,1.159973256,,,,0.455175,0.238025172,,167.3941293,19.78200491,1.6,0,0
tech47,port,p33,cement,1007877,80540,40.202236,-105.236697,1969,980000,0,380000,1.784482651,0,0.023769309,0.023769309,0.608602504,0.023769309,0.112174447,1.498965427,0,0,0,0,0,0,0,0,0,0,1.159973256,,,,0.455175,0.405656584,,167.3941293,19.78200491,1.6,0,0
tech48,port,p10,cement,1002308,92308,34.39654,-117.150005,1915,2721000,0,2620000,1.368375764,0,0.018226765,0.018226765,0.466688155,0.018226765,0.112174447,1.149435642,0,0,0,0,0,0,0,0,0,0,1.159973256,,,,0.455175,0.38485033,,167.3941293,19.78200491,1.6,0,0
tech49,port,p64,cement,1007663,78132,29.675,-98.182778,1980,2190000,0,2020000,1.448076669,0,0.060336528,0.030168264,0.771672435,0.006033653,0.141895672,1.086057501,0,0,0,0,0,0,0,0,0,0,1.159973256,,,,0.455175,0.297861468,,167.3941293,19.78200491,1.6,0,0
tech50,port,p102,cement,1004758,33182,25.786463,-80.421113,1958,1320000,0,1050000,1.310775763,0,0.054615657,0.027307828,0.698505505,0.005461566,0.141895672,0.983081822,0,0,0,0,0,0,0,0,0,0,1.159973256,,,,0.455175,0.28063808,,167.3941293,19.78200491,1.6,0,0
tech51,port,p94,cement,1005331,31013,32.4152,-83.6333,1920,730000,0,570000,1.333645688,0,0.05556857,0.027784285,0.710692768,0.005556857,0.141895672,1.000234266,0,0,0,0,0,0,0,0,0,0,1.159973256,,,,0.455175,0.308967992,,167.3941293,19.78200491,1.6,0,0
tech52,port,p89,cement,1008033,36732,32.5127,-87.815631,1901,820000,0,800000,1.0368695,0,0.043202896,0.021601448,0.552542299,0.00432029,0.141895672,0.777652125,0,0,0,0,0,0,0,0,0,0,1.159973256,,,,0.455175,0.233835483,,167.3941293,19.78200491,1.6,0,0
